NOME PRODUTO;VALOR PRODUTO;LINK PRODUTO
Processador Intel Core I5-10600KF, 4.1GHz, Cache 12MB, LGA 1200 - BX8070110600KF;R$ 1.022,47;https://www.kabum.com.br/produto/167498/processador-intel-core-i5-10600kf-4-1ghz-cache-12mb-lga-1200-bx8070110600kf
Processador Intel Core I5 13400 Box Lga 1700 10 Cores 16 Threads 20MB Cache - BX8071513400;R$ 1.716,69;https://www.kabum.com.br/produto/427059/processador-intel-core-i5-13400-box-lga-1700-10-cores-16-threads-20mb-cache-bx8071513400
Processador Intel Core I5 11600K 11ª Geração, 3.90GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200, Intel UHD Graphics 750 - BX8070811600K;R$ 2.098,85;https://www.kabum.com.br/produto/229918/processador-intel-core-i5-11600k-11-geracao-3-90ghz-cache-12mb-hexa-core-12-threads-lga-1200-intel-uhd-graphics-750-bx8070811600k
Processador Intel I5-12400, 2.5GHz, Cache 18MB, Hexa Core, 12 Threads, LGA 1700 - BX8071512400;R$ 1.104,70;https://www.kabum.com.br/produto/329802/processador-intel-i5-12400-2-5ghz-cache-18mb-hexa-core-12-threads-lga-1700-bx8071512400
Processador Intel Core I5 6500, 6ª Geração 3.20ghz, 6MB Oem 1151;R$ 304,10;https://www.kabum.com.br/produto/444814/processador-intel-core-i5-6500-6-geracao-3-20ghz-6mb-oem-1151
Processador Intel I5 2400, 3.1GHz (3.4GHz Turbo), Cache 6MB, LGA 1155, OEM;R$ 366,90;https://www.kabum.com.br/produto/223556/processador-intel-i5-2400-3-1ghz-3-4ghz-turbo-cache-6mb-lga-1155-oem
Processador Intel Core I5-13600K, 3.5GHz, Cache 24MB, Quad Core, 20 Threads, LGA 1700 - BX8071513600KI;R$ 2.160,25;https://www.kabum.com.br/produto/406913/processador-intel-core-i5-13600k-3-5ghz-cache-24mb-quad-core-20-threads-lga-1700-bx8071513600ki
Processador Intel Core I5 6500, 3.6GHz, Cache 6MB, Quad Core, 4 Threads, LGA 1151- CM8066201920404;R$ 719,10;https://www.kabum.com.br/produto/409953/processador-intel-core-i5-6500-3-6ghz-cache-6mb-quad-core-4-threads-lga-1151-cm8066201920404
Processador Intel I5-6500, 3.60GHz, Cache 6MB, FCLGA 1151;R$ 783,70;https://www.kabum.com.br/produto/274970/processador-intel-i5-6500-3-60ghz-cache-6mb-fclga-1151
Processador Intel Core I5-10600K, 4.1GHz (4.8GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110600K;R$ 1.457,16;https://www.kabum.com.br/produto/159198/processador-intel-core-i5-10600k-4-1ghz-4-8ghz-max-turbo-cache-12mb-lga-1200-bx8070110600k
Processador Intel Core I5-12600KF 12ª Geração, 3.7GHz, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.587,30;https://www.kabum.com.br/produto/317202/processador-intel-core-i5-12600kf-12-geracao-3-7ghz-cache-20mb-10-nucleos-16-threads-lga-1700-bx8071512600kf
Processador Intel Core I5 - 10400F, 2.9GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200;R$ 718,91;https://www.kabum.com.br/produto/389811/processador-intel-core-i5-10400f-2-9ghz-cache-12mb-hexa-core-12-threads-lga-1200
Processador Intel i5-10400 Comet Lake;R$ 1.165,41;https://www.kabum.com.br/produto/496631/processador-intel-i5-10400-comet-lake
Processador Core I5 2500, Lga1155, Oem Tray Sem Cooler;R$ 220,50;https://www.kabum.com.br/produto/463675/processador-core-i5-2500-lga1155-oem-tray-sem-cooler
